Taxon,EPBC Act listed,NSW listed,WA listed,VIC listed,SA listed,QLD listed,TAS listed,ACT listed,Endemic NSW,Endemic SA,Endemic WA,Endemic VIC,Endemic QLD,Endemic TAS,Endemic ACT,All other taxa,Proportion of range map burnt,Proportion of SNES range map burnt (EPBC Act species only) ,Proportion of point locations burnt,high fire frequency ranking,cumulative fire risk ranking
Abelmoschus ficulneus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.06E-04,NA,0,LOW,HIGH
Abelmoschus manihot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abelmoschus manihot subsp. tetraphyllus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abelmoschus moschatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.35E-04,NA,0,LOW,DD
Abelmoschus moschatus subsp. biakensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abelmoschus moschatus subsp. tuberosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008288895,NA,0,LOW,DD
Abildgaardia ovata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022963337,NA,0.041176471,LOW,DD
Abildgaardia vaginata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015984492,NA,0.084745763,LOW,DD
Abrodictyum brassii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00334673,NA,0,LOW,DD
Abrodictyum caudatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.099561241,NA,0.20212766,LOW,LOW
Abrodictyum obscurum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022890924,NA,0,LOW,DD
Abroma molle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001570151,NA,0,LOW,DD
Abrophyllum ornans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.114182255,NA,0.053333333,LOW,DD
Abrophyllum ornans var. microcarpum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Abrophyllum ornans var. ornans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.041935447,NA,0.041666667,LOW,DD
Abrotanella forsteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.008111164,NA,0,NONE,DD
Abrotanella nivigena,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.124444445,NA,0,LOW,DD
Abrotanella scapigera,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.001810312,NA,0,NONE,DD
Abrus precatorius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14E-04,NA,0,LOW,DD
Abrus precatorius subsp. precatorius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.27E-04,NA,0,LOW,DD
Abutilon amplum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon auritum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011400128,NA,0.007194245,LOW,DD
Abutilon calliphyllum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.96E-04,NA,0,LOW,LOW
Abutilon cryptopetalum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003195001,NA,0,LOW,DD
Abutilon cunninghamii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abutilon fraseri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-04,NA,0,LOW,LOW
Abutilon fraseri subsp. diplotrichum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.98E-05,NA,0,NONE,LOW
Abutilon fraseri subsp. fraseri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.06E-04,NA,0,LOW,LOW
Abutilon fugax,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Abutilon geranioides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon halophilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.84E-06,NA,0,LOW,LOW
Abutilon hannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abutilon hannii subsp. prostrate (P.K.Latz 427),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abutilon indicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.38E-04,NA,0,LOW,DD
Abutilon indicum subsp. albescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006311956,NA,0,LOW,DD
Abutilon indicum var. australiense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.46E-04,NA,0,LOW,DD
Abutilon julianae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NONE,NONE
Abutilon lepidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abutilon leucopetalum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.90E-05,NA,0,LOW,MEDIUM
Abutilon macrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.65E-04,NA,0,LOW,DD
Abutilon malvifolium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-04,NA,0,LOW,MEDIUM
Abutilon micropetalum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.004499333,NA,0.018181818,LOW,DD
Abutilon nobile,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.13E-04,NA,0,LOW,DD
Abutilon otocarpum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.39E-04,NA,0,LOW,MEDIUM
Abutilon oxycarpum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015882126,NA,0.027149321,LOW,LOW
Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,DD,DD
Abutilon oxycarpum var. incanum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.002270926,NA,0,LOW,LOW
Abutilon oxycarpum var. oxycarpum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.042288094,NA,0.046979866,LOW,LOW
Abutilon oxycarpum var. subsagittatum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.012754065,NA,0.015873016,LOW,LOW
Abutilon persicum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Abutilon sp. Cape Range (A.S.George 1312),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Cook District (A.MacDonald 10),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Dioicum (A.A.Mitchell PRP 1618),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Hamelin (A.M.Ashby 2196),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Mataranka (R.M.Barker 877),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Abutilon sp. Onslow  (F.Smith s.n. 10/09/1961),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,DD,DD
Abutilon sp. Pilbara (W.R.Barker 2025),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Pritzelianum (S.van Leeuwen 5095),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Quobba (H.Demarz 3858),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon sp. Warburton (A.S.George 8164),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Abutilon subviscosum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001429801,NA,0,LOW,DD
Abutilon tubulosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.027797918,NA,0.03125,LOW,DD
Abutilon tubulosum var. breviflorum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Abutilon tubulosum var. tubulosum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.006751665,NA,0,LOW,DD
Acacia abbatiana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Acacia abbreviata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia abrupta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia acanthaster,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0.038461539,NONE,DD
Acacia acanthoclada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017322915,NA,0,LOW,LOW
Acacia acanthoclada subsp. acanthoclada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016004574,NA,0.027522936,LOW,LOW
Acacia acanthoclada subsp. glaucescens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.032727848,NA,0,LOW,DD
Acacia acellerata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.011661054,NA,0,LOW,DD
Acacia acinacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010255976,NA,0.00877193,LOW,DD
Acacia aciphylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.67E-04,NA,0,LOW,LOW
Acacia acoma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.073952984,NA,0,LOW,DD
Acacia acradenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.40E-06,NA,0,NONE,HIGH
Acacia acrionastes,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.146195988,NA,0.166666667,LOW,DD
Acacia acuaria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.001175752,NA,0,LOW,DD
Acacia aculeatissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.108001297,NA,0.180790961,LOW,MEDIUM
Acacia aculeiformis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005921986,NA,0.08,LOW,DD
