dataset_id,site_name,site_property,value
ANBG_2019,Adelaide Botanic Gardens.,latitude (deg),NA
ANBG_2019,Adelaide Botanic Gardens.,longitude (deg),NA
ANBG_2019,Adelaide Botanic Gardens.,collector,"Carmen, P."
ANBG_2019,Adelaide Botanic Gardens.,locality,Adelaide Botanic Gardens.
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",latitude (deg),NA
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",longitude (deg),NA
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",collector,"Cayzer, L.W."
ANBG_2019,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath.",locality,"Blue Mountains National Park, Govetts Leap, 100 m S towards Evans Lookout, Blackheath."
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,latitude (deg),NA
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,longitude (deg),NA
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,collector,"Golson, T."
ANBG_2019,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).,locality,Brisbane Botanic Gardens Conservation Seed Bank (BBGCS).
ANBG_2019,"Burraga Swamp, Barrington Tops.",latitude (deg),NA
ANBG_2019,"Burraga Swamp, Barrington Tops.",longitude (deg),NA
ANBG_2019,"Burraga Swamp, Barrington Tops.",collector,"Wallace, B.J."
ANBG_2019,"Burraga Swamp, Barrington Tops.",locality,"Burraga Swamp, Barrington Tops."
ANBG_2019,Central Australian district; Ayers Rock National Park.,latitude (deg),NA
ANBG_2019,Central Australian district; Ayers Rock National Park.,longitude (deg),NA
ANBG_2019,Central Australian district; Ayers Rock National Park.,collector,"Tyrrel, C."
ANBG_2019,Central Australian district; Ayers Rock National Park.,locality,Central Australian district; Ayers Rock National Park.
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",latitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",longitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",collector,"Edwards, D."
